[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /auth/register            --> github.com/machines-got-talent/backend/internal/auth.(*Handler).Register-fm (4 handlers)
[GIN-debug] POST   /auth/login               --> github.com/machines-got-talent/backend/internal/auth.(*Handler).Login-fm (4 handlers)
[GIN-debug] POST   /auth/reset-password      --> github.com/machines-got-talent/backend/internal/auth.(*Handler).ResetPassword-fm (4 handlers)
[GIN-debug] POST   /lobby/create             --> github.com/machines-got-talent/backend/internal/lobby.(*Handler).Create-fm (5 handlers)
[GIN-debug] GET    /lobby/list               --> github.com/machines-got-talent/backend/internal/lobby.(*Handler).List-fm (5 handlers)
[GIN-debug] POST   /lobby/join               --> github.com/machines-got-talent/backend/internal/lobby.(*Handler).Join-fm (5 handlers)
[GIN-debug] POST   /lobby/leave              --> github.com/machines-got-talent/backend/internal/lobby.(*Handler).Leave-fm (5 handlers)
[GIN-debug] POST   /game/start               --> github.com/machines-got-talent/backend/internal/game.(*Handler).StartGame-fm (5 handlers)
[GIN-debug] POST   /game/use-advantage       --> github.com/machines-got-talent/backend/internal/game.(*Handler).UseAdvantage-fm (5 handlers)
[GIN-debug] GET    /ws/:lobbyCode            --> github.com/machines-got-talent/backend/internal/game.(*Handler).ServeWS-fm (4 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2026/03/23 - 17:07:37 | 401 |            0s |             ::1 | GET      "/lobby/list"
[GIN] 2026/03/23 - 17:07:37 | 401 |            0s |             ::1 | GET      "/lobby/list"
[GIN] 2026/03/23 - 17:07:40 | 401 |            0s |             ::1 | POST     "/lobby/create"
[GIN] 2026/03/23 - 17:07:42 | 401 |       877.1µs |             ::1 | GET      "/lobby/list"
[GIN] 2026/03/23 - 17:07:42 | 401 |            0s |             ::1 | GET      "/lobby/list"
[GIN] 2026/03/23 - 17:07:43 | 401 |            0s |             ::1 | GET      "/lobby/list"
[GIN] 2026/03/23 - 17:07:44 | 401 |            0s |             ::1 | POST     "/lobby/create"
[GIN] 2026/03/23 - 17:07:45 | 401 |            0s |             ::1 | POST     "/lobby/create"
[GIN] 2026/03/23 - 17:07:46 | 401 |       162.5µs |             ::1 | GET      "/lobby/list"
[GIN] 2026/03/23 - 17:07:58 | 401 |            0s |             ::1 | GET      "/lobby/list"
[GIN] 2026/03/23 - 17:07:58 | 401 |            0s |             ::1 | GET      "/lobby/list"
[GIN] 2026/03/23 - 17:26:56 | 400 |            0s |             ::1 | POST     "/auth/register"
[GIN] 2026/03/23 - 17:27:38 | 201 |     52.9268ms |             ::1 | POST     "/auth/register"
[GIN] 2026/03/23 - 17:27:49 | 409 |       765.6µs |             ::1 | POST     "/auth/register"
[GIN] 2026/03/23 - 17:27:49 | 401 |            0s |             ::1 | GET      "/lobby/list"
[GIN] 2026/03/23 - 17:28:09 | 200 |     46.3031ms |             ::1 | POST     "/auth/login"
[GIN] 2026/03/23 - 17:28:09 | 200 |      10.046ms |             ::1 | GET      "/lobby/list"
[GIN] 2026/03/23 - 17:28:30 | 200 |     46.0199ms |             ::1 | POST     "/auth/login"
[GIN] 2026/03/23 - 17:28:30 | 201 |            0s |             ::1 | POST     "/lobby/create"
